Bronx Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,18,,B3,464 EAST 185 STREET,,10458,2,0,2,"1,799","1,944",1910,1,B3,"669,000",6/3/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,44,,B1,444 EAST 186TH STREET,,10458,2,0,2,"2,000","2,060",1901,1,B1,0,4/28/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,44,,B1,444 EAST 186TH STREET,,10458,2,0,2,"2,000","2,060",1901,1,B1,0,8/15/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3044,159,,B1,1992 BATHGATE AVENUE,,10457,2,0,2,"1,736","2,340",1998,1,B1,"725,000",4/18/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3047,9,,B9,2122 WASHINGTON AVENUE,,10457,2,0,2,"1,258","2,340",1901,1,B9,"700,000",10/21/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,79,,B2,2259 BATHGATE AVE,,10457,2,0,2,"2,018","1,562",1901,1,B2,0,8/24/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,79,,B2,2259 BATHGATE AVENUE,,10457,2,0,2,"2,018","1,562",1901,1,B2,"726,000",4/28/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,90,,B2,505 EAST 182ND STREET,,10457,2,0,2,"1,959","2,278",1901,1,B2,0,9/1/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,107,,B3,2319 BASSFORD AVENUE,,10458,2,0,2,927,"1,304",1901,1,B3,"609,000",10/20/22
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3029,28,,C0,2092 WEBSTER AVENUE,,10457,3,0,3,"2,122","3,510",1899,1,C0,0,2/21/22
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3037,105,,C0,463 EAST 181ST STREET,,10457,3,0,3,"1,095","2,779",2006,1,C0,"915,000",10/14/22
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3047,7,,C0,2118 WASHINGTON AVE,,10457,3,0,3,"1,633","3,273",1901,1,C0,0,12/21/22
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3047,28,,C0,2106 BATHGATE AVENUE,,10457,3,0,3,"1,133","3,362",2005,1,C0,"900,000",8/15/22
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3047,29,,C0,2108 BATHGATE AVENUE,,10457,3,0,3,"1,650","3,316",2005,1,C0,"990,000",2/25/22
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3053,120,,C0,504 EAST 184 STREET,,10458,3,0,3,"1,334","2,936",2005,1,C0,0,3/8/22
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3053,121,,C0,506 E 184TH ST,,10458,3,0,3,"1,269","2,936",2005,1,C0,0,3/8/22
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3053,122,,C0,508 EAST 184 STREET,,10458,3,0,3,"1,269","2,936",2005,1,C0,0,3/8/22
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3036,34,,V0,2089 WASHINGTON AVENUE,,10457,0,0,0,"2,005",0,,1,V0,"67,500",11/18/22
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3041,8,,V0,446 CYRUS PLACE,,10458,0,0,0,"2,320",0,2022,1,V0,"435,000",2/28/22
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3046,37,,V0,N/A BATHGATE AVENUE,,10457,0,0,0,"2,329",0,,1,V0,"540,000",4/19/22
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3050,78,,V0,N/A BATHGATE AVENUE,,10457,0,0,0,"2,025",0,,1,V0,0,8/24/22
