Queens Rolling Sales.  All Sales From February 2022 - January 2023,,,,,,,,,,,,,,,,,,, PTS Sales Data as of 02/13/2023 ,
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll.         Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data.",,,,,,,,,,,,,,,,,,  ,  ,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15972,62,,A1,401 BEACH 47 STREET,,11691,1,0,1,"3,604","1,464",1915,1,A1,0,5/6/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16028,70,,A2,6702 ALMEDA AVENUE,,11692,1,0,1,"1,350",974,1930,1,A2,"330,000",4/6/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16028,170,,A2,67-04 ALMEDA AVENUE,,11692,1,0,1,"1,988","1,125",1930,1,A2,"550,000",9/16/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16029,34,,A2,68-11 BAYFIELD AVENUE,,11692,1,0,1,"5,279","1,242",1950,1,A2,"530,000",7/11/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16031,27,,A9,5-60 BEACH 65 STREET,,11692,1,0,1,"2,500","1,755",1960,1,A9,1,5/24/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16032,23,,A1,548 BEACH 66 STREET,,11692,1,0,1,"3,999","2,550",1950,1,A1,"657,200",12/2/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16038,64,,A2,417 BEACH 64 STREET,,11692,1,0,1,"3,999","1,216",1930,1,A2,"390,000",6/21/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16039,10,,A2,418 BEACH 66 STREET,,11692,1,0,1,"3,000","1,832",1935,1,A2,0,11/20/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16045,20,,A6,69-23 BAYFIELD AVENUE,,11692,1,0,1,"2,000",640,1920,1,A6,"400,000",3/30/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16048,52,,A1,69-44 BURCHELL AVENUE,,11692,1,0,1,"3,000","1,504",2018,1,A1,0,9/20/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16048,57,,A2,69-52 BURCHELL AVE,,11692,1,0,1,"3,000","1,764",1950,1,A2,"435,000",8/2/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,12,,A2,6929 BURCHELL AVE,,11692,1,0,1,"5,999","1,736",1955,1,A2,"15,000",12/17/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16049,12,,A2,6929 BURCHELL AVE,,11692,1,0,1,"5,999","1,736",1955,1,A2,"30,000",9/9/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16050,12,,A2,69-37 ELIZABETH AVENUE,,11692,1,0,1,"2,499",750,1925,1,A2,"420,000",6/10/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16056,26,,A1,667 BEACH 72ND ST,,11692,1,0,1,"2,000","1,248",1940,1,A1,"20,000",8/3/22
